iter	Passed	Remaining
868	39422	5942
869	39469	5897
870	39517	5852
871	39565	5807
872	39613	5762
873	39661	5717
874	39707	5672
875	39754	5627
876	39801	5582
877	39846	5536
878	39894	5491
879	39941	5446
880	39987	5401
881	40034	5356
882	40081	5310
883	40127	5265
884	40174	5220
885	40222	5175
886	40269	5130
887	40316	5084
888	40361	5039
889	40409	4994
890	40457	4949
891	40504	4904
892	40550	4858
893	40597	4813
894	40643	4768
895	40689	4722
896	40737	4677
897	40783	4632
898	40830	4587
899	40877	4541
900	40925	4496
901	40972	4451
902	41020	4406
903	41066	4361
904	41114	4315
905	41162	4270
906	41208	4225
907	41257	4180
908	41303	4134
909	41349	4089
910	41396	4044
911	41444	3999
912	41493	3953
913	41541	3908
914	41589	3863
915	41638	3818
916	41685	3773
917	41733	3727
918	41781	3682
919	41828	3637
920	41875	3591
921	41921	3546
922	41968	3501
923	42015	3455
924	42063	3410
925	42110	3365
926	42158	3319
927	42206	3274
928	42254	3229
929	42302	3184
930	42349	3138
931	42395	3093
932	42443	3047
933	42490	3002
934	42537	2957
935	42585	2911
936	42631	2866
937	42681	2821
938	42729	2775
939	42777	2730
940	42824	2685
941	42872	2639
942	42918	2594
943	42965	2548
944	43012	2503
945	43059	2457
946	43105	2412
947	43152	2367
948	43199	2321
949	43246	2276
950	43293	2230
951	43341	2185
952	43390	2139
953	43440	2094
954	43488	2049
955	43534	2003
956	43582	1958
957	43629	1912
958	43677	1867
959	43724	1821
960	43771	1776
961	43818	1730
962	43867	1685
963	43912	1639
964	43962	1594
965	44008	1548
966	44056	1503
967	44103	1457
968	44148	1412
969	44196	1366
970	44243	1321
971	44290	1275
972	44337	1230
973	44384	1184
974	44433	1139
975	44480	1093
976	44528	1048
977	44576	1002
978	44623	957
979	44670	911
980	44716	866
981	44763	820
982	44810	774
983	44859	729
984	44905	683
985	44954	638
986	45002	592
987	45050	547
988	45097	501
989	45145	456
990	45197	410
991	45256	364
992	45316	319
993	45375	273
994	45425	228
995	45474	182
996	45522	136
997	45569	91
998	45618	45
999	45665	0
